Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-28","ALL","All Games","PIT","19","36","34%","-1372","All Games","ARI","27","27","50%","-403"
"2025-05-28","LOCATION","On Road","PIT","6","20","23%","-1172","At Home","ARI","14","13","51%","-245"
"2025-05-28","STATUS","As Underdog or Even","PIT","13","25","34%","-710","As Favorite","ARI","19","15","55%","-180"
"2025-05-28","MONEY LINE","When Line was +205 to +235","PIT","1","1","50%","+121","When Line was -285 to -255","ARI","0","0","0%","+0"
"2025-05-28","LOCATION & STATUS","As Road Underdog","PIT","4","16","20%","-928","As Home Favorite","ARI","11","10","52%","-282"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","PIT","8","12","40%","-210","vs Teams That Win <46% of Games","ARI","9","10","47%","-437"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","PIT","12","21","36%","-801","vs Teams Allowing >4.2 Runs","ARI","20","16","55%","+21"
"2025-05-28","REST","3rd game without a day off","PIT","14","27","34%","-1083","3rd game without a day off","ARI","18","20","47%","-332"
"2025-05-28","HEAD TO HEAD","vs ARI","PIT","0","1","0%","-100","vs PIT","ARI","1","0","100%","+51"
"2025-05-28","PROJECTED STARTER","when Mike Burrows starts","PIT","0","1","0%","-100","when Corbin Burnes starts","ARI","5","4","55%","-62"
"2025-05-28","ALL","All Games","LAD","33","21","61%","-264","All Games","CLE","29","24","54%","+435"
"2025-05-28","LOCATION","On Road","LAD","14","13","51%","-291","At Home","CLE","14","9","60%","+238"
"2025-05-28","STATUS","As Favorite","LAD","29","16","64%","-164","As Underdog or Even","CLE","17","17","50%","+262"
"2025-05-28","MONEY LINE","When Line was -151 to -121","LAD","4","3","57%","-8","When Line was +100 to +130","CLE","8","8","50%","+115"
"2025-05-28","LOCATION & STATUS","As Road Favorite","LAD","10","8","55%","-191","As Home Underdog","CLE","6","7","46%","-98"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","LAD","7","9","43%","-409","vs Teams That Win >54% of Games","CLE","8","11","42%","-283"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","LAD","23","15","60%","-392","vs Teams Allowing >4.2 Runs","CLE","16","14","53%","+266"
"2025-05-28","REST","3rd game without a day off","LAD","19","13","59%","-384","3rd game without a day off","CLE","20","15","57%","+467"
"2025-05-28","HEAD TO HEAD","vs CLE","LAD","1","0","100%","+55","vs LAD","CLE","0","1","0%","-100"
"2025-05-28","PROJECTED STARTER","when Clayton Kershaw starts","LAD","0","0","50%","+0","when Jake Junis starts","CLE","0","0","0%","+0"
"2025-05-28","ALL","All Games","MIN","29","24","54%","-99","All Games","TB","27","26","50%","+16"
"2025-05-28","LOCATION","On Road","MIN","11","16","40%","-541","At Home","TB","17","18","48%","-418"
"2025-05-28","STATUS","As Underdog or Even","MIN","9","10","47%","-23","As Favorite","TB","15","14","51%","-332"
"2025-05-28","MONEY LINE","When Line was -123 to +107","MIN","11","14","44%","-384","When Line was -126 to +104","TB","8","5","61%","+195"
"2025-05-28","LOCATION & STATUS","As Road Underdog","MIN","6","10","37%","-309","As Home Favorite","TB","13","11","54%","-186"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","MIN","9","7","56%","+50","vs Teams That Win >54% of Games","TB","10","13","43%","-166"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","MIN","12","11","52%","-166","vs Teams Allowing <3.9 Runs","TB","8","8","50%","+13"
"2025-05-28","REST","3rd game without a day off","MIN","20","17","54%","-41","3rd game without a day off","TB","21","16","56%","+486"
"2025-05-28","HEAD TO HEAD","vs TB","MIN","0","1","0%","-100","vs MIN","TB","1","0","100%","+85"
"2025-05-28","PROJECTED STARTER","when Pablo Lopez starts","MIN","6","3","66%","+53","when Drew Rasmussen starts","TB","4","6","40%","-288"
"2025-05-28","ALL","All Games","SF","31","23","57%","+224","All Games","DET","34","21","61%","+480"
"2025-05-28","LOCATION","On Road","SF","14","14","50%","+33","At Home","DET","19","8","70%","+499"
"2025-05-28","STATUS","As Underdog or Even","SF","11","11","50%","+139","As Favorite","DET","23","11","67%","+247"
"2025-05-28","MONEY LINE","When Line was -119 to +111","SF","6","7","46%","-106","When Line was -129 to +101","DET","7","9","43%","-253"
"2025-05-28","LOCATION & STATUS","As Road Underdog","SF","10","9","52%","+241","As Home Favorite","DET","15","6","71%","+256"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","SF","12","8","60%","+373","vs Teams That Win >54% of Games","DET","8","10","44%","-358"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","SF","8","11","42%","-390","vs Teams Allowing <3.9 Runs","DET","10","8","55%","-101"
"2025-05-28","REST","3rd game without a day off","SF","23","16","59%","+274","3rd game without a day off","DET","23","18","56%","-154"
"2025-05-28","HEAD TO HEAD","vs DET","SF","0","1","0%","-100","vs SF","DET","1","0","100%","+90"
"2025-05-28","PROJECTED STARTER","when Landen Roupp starts","SF","6","4","60%","+126","when Jackson Jobe starts","DET","8","1","88%","+677"
"2025-05-28","ALL","All Games","BOS","27","29","48%","-713","All Games","MIL","27","28","49%","-529"
"2025-05-28","LOCATION","On Road","BOS","11","15","42%","-520","At Home","MIL","16","10","61%","+323"
"2025-05-28","STATUS","As Underdog or Even","BOS","7","10","41%","-233","As Favorite","MIL","19","8","70%","+579"
"2025-05-28","MONEY LINE","When Line was +113 to +143","BOS","2","2","50%","+32","When Line was -167 to -137","MIL","7","1","87%","+365"
"2025-05-28","LOCATION & STATUS","As Road Underdog","BOS","5","8","38%","-260","As Home Favorite","MIL","13","4","76%","+597"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","BOS","8","10","44%","-301","vs Teams That Win 46-54% of Games","MIL","8","3","72%","+464"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","BOS","12","11","52%","-233","vs Teams Allowing >4.2 Runs","MIL","16","16","50%","-298"
"2025-05-28","REST","3rd game without a day off","BOS","16","24","40%","-1032","3rd game without a day off","MIL","22","20","52%","-15"
"2025-05-28","HEAD TO HEAD","vs MIL","BOS","0","1","0%","-100","vs BOS","MIL","1","0","100%","+137"
"2025-05-28","PROJECTED STARTER","when Brayan Bello starts","BOS","5","2","71%","+196","when Freddy Peralta starts","MIL","6","5","54%","-95"
"2025-05-28","ALL","All Games","CHW","17","37","31%","-1007","All Games","NYM","33","21","61%","+283"
"2025-05-28","LOCATION","On Road","CHW","5","22","18%","-1238","At Home","NYM","20","6","76%","+725"
"2025-05-28","STATUS","As Underdog or Even","CHW","17","37","31%","-1007","As Favorite","NYM","26","13","66%","+342"
"2025-05-28","MONEY LINE","When Line was +190 to +220","CHW","1","13","7%","-1103","When Line was -267 to -237","NYM","1","0","100%","+40"
"2025-05-28","LOCATION & STATUS","As Road Underdog","CHW","5","22","18%","-1238","As Home Favorite","NYM","18","5","78%","+619"
